Timestamp,Spot,CallPremium,PutPremium,Volume
12:45:50,7432.97,31925057.65,57651929.68,93077.0
12:46:16,7432.97,30072857.88,60216941.78,93385.0
12:47:39,7432.97,29833840.79,61245208.37,93891.0
12:49:02,7432.97,31220520.95,60893542.51,94341.0
12:50:25,7432.97,29319953.32,63240282.68,94944.0
12:51:49,7432.97,29266441.69,65102931.61,95981.0
12:52:56,7432.97,0.0,0.0,0
12:53:30,7432.97,0.0,0.0,0
12:54:34,7432.97,3150920.0,9974542.05,14745.0
12:55:09,7432.97,34119643.46,59212006.07,98483.0
12:56:16,7432.97,33981305.22,58599701.5,98811.0
12:57:23,7432.97,31916965.44,60882576.46,99253.0
12:58:31,7432.97,32215382.13,58656095.16,99500.0
12:59:43,7432.97,3123960.0,9204625.0,14853.0
13:00:23,7432.97,31887779.42,59518932.99,99938.0
13:01:31,7432.97,32563229.51,59053681.87,100109.0
13:02:38,7432.97,30401202.86,62847578.99,100502.0
13:03:46,7432.97,32962336.68,60174651.74,100683.0
13:04:53,7432.97,36151817.51,55845951.53,100942.0
13:06:01,7432.97,34731205.01,57703220.63,101920.0
13:07:09,7432.97,33157164.69,60725680.94,103270.0
13:08:16,7432.97,32715010.4,62101219.29,103783.0
13:09:24,7432.97,32748828.87,62355076.26,104099.0
