Timestamp,Spot,CallPremium,PutPremium,Volume
01:37:28,7022.95,0.0,0.0,0
01:43:28,7022.95,0.0,0.0,0.0
01:45:39,7022.95,0.0,0.0,0.0
01:58:58,7022.95,0.0,0.0,0.0
02:34:14,7022.95,0.0,0.0,0.0
02:51:35,7022.95,169620.0,61400.0,61.0
03:24:15,7022.95,169620.0,61400.0,61.0
03:57:27,7022.95,169620.0,61400.0,61.0
04:08:05,7022.95,169620.0,61400.0,61.0
04:42:31,7022.95,169620.0,61400.0,61.0
05:14:27,7022.95,169620.0,61400.0,61.0
05:45:56,7022.95,169620.0,61400.0,61.0
06:19:43,7022.95,169620.0,61400.0,61.0
06:22:06,7022.95,169620.0,61400.0,61.0
06:55:47,7022.95,169620.0,61400.0,61.0
07:30:07,7022.95,169620.0,61400.0,61.0
08:04:21,7022.95,169620.0,61400.0,61.0
08:38:03,7022.95,169620.0,61400.0,61.0
09:04:41,7022.95,169620.0,61400.0,61.0
09:15:36,7022.95,4156037.5,4042761.22,11045.0
09:16:50,7022.95,5058385.11,4214647.55,11589.0
09:19:00,7022.95,5245644.76,4095661.34,11667.0
09:21:09,7022.95,5359431.93,4039235.31,11776.0
09:23:19,7022.95,5548711.17,3914897.81,11805.0
09:25:28,7022.95,5639410.23,3853147.32,11845.0
09:27:38,7022.95,5425709.39,4026699.82,11887.0
09:29:48,7022.95,5466989.27,3990109.24,11908.0
09:31:57,7022.95,5466433.04,3990229.15,11908.0
09:34:07,7022.95,5466433.04,3990229.15,11908.0
09:36:16,7022.95,5788006.18,3838678.37,12021.0
09:38:26,7022.95,5727953.68,3921918.37,12110.0
09:40:35,7022.95,5653381.18,4037955.87,12141.0
09:42:45,7022.95,5938471.18,3869318.37,12199.0
09:44:55,7022.95,5944312.04,3950775.87,12322.0
09:47:04,7022.95,5704312.79,4143101.26,12360.0
09:49:14,7022.95,5769105.29,4168741.26,12427.0
10:06:12,7022.95,5719280.29,4225301.26,12432.0
10:13:27,7022.95,5719280.29,4225301.26,12432.0
10:24:22,7022.95,5719280.29,4225301.26,12432.0
10:33:57,7022.95,5719280.29,4225301.26,12432.0
10:38:42,7022.95,5719280.29,4225301.26,12432.0
11:04:35,7022.95,5719280.29,4225301.26,12432.0
11:34:52,7022.95,5719280.29,4225301.26,12432.0
11:38:00,7022.95,5719280.29,4225301.26,12432.0
11:43:45,7022.95,5719280.29,4225301.26,12432.0
12:03:45,7022.95,5719280.29,4225301.26,12432.0
12:07:02,7022.95,8662210.27,6200067.11,19962.0
12:11:35,7022.95,8634445.27,6211267.11,19965.0
12:13:44,7022.95,8410821.63,6523250.47,20176.0
12:17:14,7022.95,8659242.77,6544730.47,20377.0
12:20:26,7022.95,8592462.77,6574450.47,20388.0
12:22:36,7022.95,8479450.67,7088046.33,20672.0
12:26:16,7022.95,9857191.7,7020705.48,27382.0
12:26:55,7022.95,9899337.82,7015845.04,27778.0
12:27:18,7022.95,9870077.56,7048958.19,27789.0
12:29:57,7022.95,9737525.52,7395313.22,27986.0
12:32:36,7022.95,9614220.66,7556535.34,28091.0
12:32:37,7022.95,9614780.66,7556300.34,28091.0
12:35:17,7022.95,9330449.81,8328544.04,28667.0
12:37:08,7022.95,9313233.14,8500734.88,28833.0
12:37:29,7022.95,9287478.14,8531089.35,28850.0
12:37:56,7022.95,9194414.48,8675650.39,28904.0
12:43:53,7022.95,9282620.03,8889757.27,29366.0
12:51:14,7022.95,9431201.66,9651536.4,30665.0
13:06:09,7022.95,10317993.68,9137347.83,31475.0
13:06:41,7022.95,10317294.26,9138723.0,31497.0
13:08:27,7022.95,11743703.27,8353022.86,32585.0
13:08:50,7022.95,11617557.77,8377568.04,32707.0
13:11:30,7022.95,11679342.02,8351412.01,32975.0
13:14:09,7022.95,11660683.39,8570256.74,33270.0
13:16:49,7022.95,12361616.62,8218434.76,33456.0
