Timestamp,Spot,Strike,NetGEX,Volume
05:25:34,6556.37,6570.0,-70.5758,72.0
05:25:34,6556.37,6575.0,-533.0161,171.0
05:25:34,6556.37,6580.0,-749.3025,208.0
05:25:34,6556.37,6585.0,-491.7589,90.0
05:25:34,6556.37,6590.0,-35.8463,106.0
05:25:34,6556.37,6595.0,-4.2338,118.0
05:25:34,6556.37,6600.0,-146.2595,503.0
05:25:34,6556.37,6605.0,-12.935,115.0
05:25:34,6556.37,6610.0,-27.4647,217.0
05:25:34,6556.37,6615.0,0.2134,101.0
05:25:34,6556.37,6620.0,-77.8112,165.0
05:25:34,6556.37,6625.0,18.7997,306.0
05:25:34,6556.37,6630.0,-38.902,164.0
06:24:55,6556.37,6485.0,-30.0485,397.0
06:24:55,6556.37,6490.0,-103.7518,514.0
06:24:55,6556.37,6495.0,-79.0553,78.0
06:24:55,6556.37,6500.0,-182.4877,719.0
06:24:55,6556.37,6505.0,-55.5761,513.0
06:24:55,6556.37,6510.0,-57.4737,154.0
06:24:55,6556.37,6515.0,-40.6777,319.0
06:24:55,6556.37,6520.0,-75.3458,273.0
06:24:55,6556.37,6525.0,-98.3926,102.0
06:24:55,6556.37,6530.0,-50.8709,272.0
06:24:55,6556.37,6535.0,-39.5372,217.0
06:24:55,6556.37,6540.0,-57.8232,272.0
06:24:55,6556.37,6545.0,-22.5318,99.0
06:24:55,6556.37,6550.0,-194.8499,536.0
06:24:55,6556.37,6555.0,-15.9728,183.0
06:24:55,6556.37,6560.0,-1.8489,184.0
06:24:55,6556.37,6565.0,-11.5455,187.0
06:24:55,6556.37,6570.0,-67.8103,106.0
06:24:55,6556.37,6575.0,-518.0598,225.0
06:24:55,6556.37,6580.0,-738.1175,272.0
06:24:55,6556.37,6585.0,-490.126,127.0
06:24:55,6556.37,6590.0,-47.8331,185.0
06:24:55,6556.37,6595.0,-4.4211,154.0
06:24:55,6556.37,6600.0,-180.1673,654.0
